Veritrace_ID,USTC_ID,Added by,Subcorpus,Subcorpus_2 (if any),CRC_Type,USTC copies,Principal Author,Additional Author,Additional Author2,Additional Author3,Additional Author4,Additional Author5,Contributor,Contributor2,Contributor3,Translator,Short Title,Imprint,Format,Pagination,Place of Printing,Printer/Publisher,Printer/Publisher2,Printer/Publisher3,Date of Publication,Language,USTC Permalink,GW_ID,GW_URL,ISTC_ID,ISTC URL,MEI URL,Verzeichnis 16. Jahrhunders ID (VD16) ID,VD16 Permalink,OPAC SBN ID,OPAC SBN URL,ESTC,SOURCE COMMENTS (Input),Dannenfeldt Cat.,Verified Digital Copy URL,MDZ Link,TaxonomyID,Copy-text?,Taxonomy
84,203442.0,,Sibylline Oracles,Chaldean Oracles,,1.0,Sibyllina oracula,,,,,,,,,,"Sibyllina oracula ex veteribus codicibus aucta, renovata et notis illustrata cum interpretatione Latina et indice","Paris, Jacques du Puys, 1589",,,Paris ,"Du Puys, Jacques",,,1589,Latin,https://www.ustc.ac.uk/editions/203442,,,,,,,,,,,Dannenfeldt 1960b (159); see USTC_ID 137998.,,No link provided by the USTC and I wasn't able to find it anywhere else. ,,,,
45,137998.0,,Chaldean Oracles,,,4.0,,,,,,,,,,,"Oracula magica, cum scholiis Plethonis et Pselli nunc primum editi. Magica oracula, commentariis enarrata","Paris, apud Jacques du Puys, 1589",8°,In 8° 144 marque du libraire au titre,Paris ,"du Puys, Jacques",,,1589,Latin,https://www.ustc.ac.uk/editions/137998,,,,,,,,CFIE050739,http://id.sbn.it/bid/CFIE050739,,Dannenfeldt 1960b (159); this edition might be the same as USTC_ID 203442.,,"No download link on the USTC, nor on Google Books. ",,,,
65,6901855.0,,Hermetic Corpus,,,10.0,"Apuleius, Lucius",,,,,,,,,,Opera quae extant omnia cum Philippi Beroaldi,"Lyon, apud Antoine de Harsy, 1614",8°,pp. (16) 1103 (13) & 442 (10) 124 (110),Lyon,"Harsy, Antoine de (widow of)",,,1614,Latin,https://www.ustc.ac.uk/editions/6901855,,,,,,,,,,,Dannenfeldt 1960a (146),,https://www.google.be/books/edition/_/thU9AAAAcAAJ?hl=it&gbpv=0,,,,
43,2081796.0,,Chaldean Oracles,,,5.0,,,,,,,,,,,"Trinum Magicum, Sive Secretorum Magicorum Opus : Continens I. De Magia Naturali, Artificiosa [et] Superstitiosa Disquisitiones axiomaticas. II. Theatrum Naturae ... III. Oracula Zoroastris ... Accessere Nonnulla Secreta Secretorum [et] Mirabilia Mundi , E","Frankfurt am Main, Anton Humm [et] Wolfgang Richter, 1614",12°,"pp. [24], 635",Frankfurt am Main,"Humm, Anton","Richter, Wolfgang",,1614,Latin,https://www.ustc.ac.uk/editions/2081796,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Trinum_magicum_sive_secretorum_magicorum/xMY5AAAAcAAJ?hl=it&gbpv=0,,,,
120,,,Hermetic Corpus,,,,"Apuleius, Lucius",,,,,,,,,,Opera,,,,Basel,"Henricus, Petri",,,1614,Latin,,,,,,,,,,,,Dannenfeldt 1960a (147),,https://www.google.be/books/edition/_/thU9AAAAcAAJ?hl=it&gbpv=0 ,,,,
42,2041794.0,,Chaldean Oracles,,,8.0,,,,,,,,,,,"Trinum Magicum, Sive Secretorum Magicorum Opus : Continens 1. De Magia Naturali, Artificiosa [et] Superstitiosa Diquisitiones axiomaticas. 2. Theatrum Naturae, praeter Curam Magneticam, [et] veterum Sophorum Sigilla [et] Imagines Magicas, etiam Conclusion","Offenbach, cura Georg Beatus, Frankfurt am Main, impensis Anton Humm, 1611",12°,"pp. [24], 635",Frankfurt am Main,"Beatus, Georg","Humm, Anton",,1611,Latin,https://www.ustc.ac.uk/editions/2041794,,,,,,,,,,,Dannenfeldt 1960b (161),,"No download link on the USTC, nor on Google Books. ",,,,
117,,,Chaldean Oracles,...more than two,,,,,,,,,,,,,"Reprint of 1593, Venice edition of Patrizi's Nova de Universis Philosophia",,,,London,Fabricius,,,1611,Latin/Greek,,,,,,,,,,,,Dannenfeldt 1960a (141),,No digital copy. ,,,,
59,671339.0,,Hermetic Corpus,,,31.0,Apuleius (Madaurensis) ,,,,,,"Beroaldo, Filippo ","Hopper, Marcus","Stewechius,Godescalcus",,Opera quae quidem extant omnia. In primis vero de asino aureo libri XI. Cum eruditissimis commentariis: et in l. Apuleii opera omnia quaestionibus & conjecturis: nec non aliorum doctiss. Virorum in eundem emendationibus,"Basel, per Sebastian Henricpetri, [1597]",8°,pp. [32] 776 872 496 [144],Basel,"Henricpetri, Sebastian",,,1597,Latin,https://www.ustc.ac.uk/editions/671339,,,,,,A 3172,https://gateway-bayern.de/VD16+A+3172,,,,Dannenfeldt 1960 a (146),,"https://www.digitale-sammlungen.de/en/view/bsb10996408?page=,1",,,,
41,199179.0,,Chaldean Oracles,,,8.0,,,,,,,,,,"Morel, Fédéric",Zoroastris seu Magorum oracula,"Paris, s.n., 1597",4°,,Paris ,s.n. ,,,1597,Latin ,https://www.ustc.ac.uk/editions/199179,,,,,,,,,,,Dannenfeldt 1960b (162),,"https://www.digitale-sammlungen.de/en/view/bsb10150309?page=,1",,,,
40,157925.0,,Chaldean Oracles,,,7.0,Hesiodus,,,,,,,,,"Brixius, J. ",Opera et dies in Latinum conversus. Cui addita sunt quaedam sapientiae dogmatae Zoroastris logia ab eodem translata,"Lyon, apud Thibaud Payen, 1550",4°,pp. 53 [5],Lyon,"Payen, Thibaud",,,1550,Latin,https://www.ustc.ac.uk/editions/157925,,,,,,,,,,,Dannenfeldt 1960b (160),,https://www.google.be/books/edition/Utilis_Hesiodi_Ascr%C3%A6i_liber_Opera_et_Di/DuNiAAAAcAAJ?hl=it&gbpv=1&dq=Opera+et+dies+in+Latinum+conversus.+Cui+addita&printsec=frontcover,,,,
